InvoiceNo,CustomerID,InvoiceDate,Quantity,UnitPrice
50059,65,2023-12-15,4,63.75
50060,10,2025-02-14,11,348.95
50061,39,2023-03-31,2,10.3
50062,61,2026-01-02,3,58.45
50063,91,2023-08-05,3,113.99
50064,81,2024-02-17,3,168.4
50065,54,2024-02-24,3,29.62
50066,55,2024-09-23,3,57.9
50067,59,2025-01-10,6,117.82
50068,35,2023-04-19,1,8.69
50069,48,2024-04-12,1,66.7
50070,62,2025-12-11,2,136.01
50071,32,2023-06-26,1,42.8
50072,80,2024-05-18,1,151.88
50073,12,2024-06-24,5,70.58
50074,59,2024-02-15,6,52.42
50075,28,2024-10-20,7,146.73
50076,61,2024-07-16,2,175.96
50077,47,2025-05-30,2,135.22
50078,72,2024-12-09,6,156.89
50079,14,2025-09-08,7,134.02
50080,25,2025-01-03,6,63.15
50081,17,2024-07-25,7,66.03
50082,63,2025-10-15,3,119.05
50083,99,2023-09-14,5,66.3
50084,5,2025-08-29,4,236.76
50085,10,2025-10-18,8,173.34
50086,27,2025-12-26,2,73.15
50087,12,2025-11-17,7,25.21
50088,93,2025-08-03,6,124.01
50089,21,2024-09-19,6,107.92
50090,65,2025-11-02,5,62.58
50091,20,2026-03-26,3,48.98
50092,89,2025-03-27,6,163.48
50093,11,2025-07-29,5,60.86
50094,84,2026-01-09,6,64.78
50095,17,2024-11-04,8,124.22
50096,64,2025-06-05,5,122.86
50097,4,2025-06-22,12,163.81
50098,1,2025-02-13,5,345.66
50099,29,2025-06-12,4,114.79
50100,34,2023-01-02,1,31.24
50101,95,2024-10-10,1,142.33
50102,9,2025-08-13,9,93.56
50103,53,2026-02-25,4,32.67
50104,81,2026-01-11,5,63.94
50105,42,2023-08-21,3,22.07
50106,45,2023-05-02,1,34.75
50107,18,2025-10-30,5,120.73
50108,34,2023-07-02,2,22.59
50109,19,2025-11-19,6,64.96
50110,3,2025-05-06,5,183.42
50111,50,2026-02-28,4,79.29
50112,17,2026-01-03,7,73.68
50113,47,2023-08-01,5,74.66
50114,65,2025-11-24,4,155.09
50115,42,2023-08-18,3,36.99
50116,18,2024-06-13,5,79.48
50117,23,2024-09-22,3,130.06
50118,80,2023-09-13,1,164.18
50119,7,2025-06-05,4,314.05
50120,7,2025-10-31,7,137.15
50121,23,2025-07-20,5,119.0
50122,13,2025-11-18,8,27.42
50123,6,2025-01-11,5,255.54
50124,61,2024-05-27,2,152.67
50125,26,2024-12-24,2,95.5
50126,19,2026-01-26,6,45.97
50127,91,2024-06-19,1,142.22
50128,52,2025-04-18,5,14.37
50129,45,2023-07-03,2,20.87
50130,29,2025-03-19,4,37.74
50131,84,2023-10-12,1,145.36
50132,24,2026-03-09,6,33.62
50133,24,2025-05-20,8,38.19
50134,99,2025-12-27,4,130.24
50135,9,2026-04-10,12,152.92
50136,29,2025-01-21,5,65.29
50137,51,2024-11-30,3,159.88
50138,82,2025-06-07,5,123.59
50139,6,2025-11-29,4,211.64
50140,67,2025-02-04,3,159.65
50141,39,2023-07-04,1,8.42
50142,28,2026-03-07,4,111.33
50143,74,2024-10-15,1,25.82
50144,18,2025-05-27,5,108.0
50145,27,2025-11-29,6,78.19
50146,25,2025-01-06,5,63.33
50147,4,2026-06-02,7,112.28
50148,90,2026-04-06,2,42.56
50149,29,2024-11-29,5,147.56
50150,22,2026-05-10,3,62.78
50151,35,2023-05-22,1,43.97
50152,15,2024-05-27,8,37.82
50153,38,2023-02-17,2,22.62
50154,62,2023-11-30,4,29.39
50155,13,2025-12-12,1,43.97
50156,51,2025-11-18,2,30.14
50157,43,2023-05-14,3,14.03
50158,25,2025-07-28,5,132.52
50159,30,2024-08-24,1,101.2
50160,59,2024-01-02,6,45.87
50161,3,2024-12-03,10,100.27
50162,30,2025-01-07,8,61.41
50163,20,2025-01-09,8,33.9
50164,96,2024-08-28,6,110.26
50165,28,2025-02-11,4,105.95
50166,50,2025-04-09,1,38.21
50167,44,2023-04-23,3,41.85
50168,5,2026-04-27,8,334.52
50169,38,2023-08-16,1,28.92
50170,21,2025-01-04,5,28.23
50171,99,2023-08-31,5,109.81
50172,89,2024-07-12,3,107.96
50173,25,2026-01-04,5,47.69
50174,26,2025-07-07,2,83.75
50175,14,2026-04-25,3,66.23
50176,41,2023-05-21,2,37.54
50177,2,2025-03-29,7,148.15
50178,71,2023-07-22,5,150.24
50179,80,2024-08-07,4,80.25
50180,40,2023-07-14,2,30.02
50181,5,2025-09-21,10,115.37
50182,26,2026-02-19,2,28.61
50183,34,2023-05-22,3,11.34
50184,7,2025-03-27,3,140.67
50185,14,2026-05-18,3,87.3
50186,19,2025-09-10,7,129.34
50187,28,2026-01-18,3,72.95
50188,45,2023-03-12,1,39.56
50189,100,2026-05-24,4,67.78
50190,11,2026-01-06,5,115.76
50191,41,2023-04-25,2,39.61
50192,36,2023-05-20,2,27.08
50193,21,2025-01-14,4,147.6
50194,34,2023-07-10,2,6.75
50195,23,2026-03-13,7,148.55
50196,77,2025-05-29,1,31.46
50197,100,2026-02-09,4,26.95
50198,3,2025-05-08,8,315.15
50199,5,2026-01-12,7,248.28
50200,100,2025-09-05,3,154.9
50201,86,2026-04-14,6,160.86
50202,48,2025-02-27,5,21.63
50203,93,2024-02-06,1,83.78
50204,91,2025-03-24,1,85.43
50205,48,2025-03-11,3,145.34
50206,24,2025-07-10,3,55.52
50207,43,2023-01-21,1,11.8
50208,37,2023-05-08,3,32.33
50209,55,2024-12-21,2,88.4
50210,11,2026-04-08,8,137.65
50211,32,2023-05-31,2,42.81
50212,24,2025-03-20,5,82.1
50213,23,2025-06-09,8,38.33
50214,40,2023-03-17,2,44.71
50215,7,2025-01-20,6,82.19
50216,93,2025-02-25,4,151.58
50217,60,2024-10-10,5,146.33
50218,85,2024-04-25,3,125.22
50219,45,2023-03-21,3,30.85
50220,48,2024-04-14,5,72.03
50221,5,2025-05-29,7,281.82
50222,28,2025-02-18,6,91.36
50223,62,2025-03-15,4,174.46
50224,67,2023-12-21,1,89.62
50225,4,2026-01-11,12,275.54
50226,97,2025-10-05,5,72.18
50227,9,2025-08-26,3,202.79
50228,44,2023-01-28,3,42.61
50229,76,2025-05-21,1,115.32
50230,60,2026-02-24,6,20.75
50231,65,2024-05-01,6,79.41
50232,1,2025-03-29,6,348.9
50233,9,2025-12-15,4,184.93
50234,93,2025-11-24,6,170.82
50235,42,2023-06-17,1,40.42
50236,8,2025-09-13,11,190.19
50237,6,2025-07-30,5,199.71
50238,52,2025-07-23,6,72.45
50239,5,2026-03-11,5,341.42
50240,4,2024-12-22,12,252.66
50241,6,2025-06-29,5,346.98
50242,9,2025-07-27,5,238.32
50243,15,2024-10-10,1,59.66
50244,80,2024-03-01,3,145.75
50245,47,2024-11-18,2,12.53
50246,31,2023-02-02,1,15.61
50247,79,2026-03-21,1,136.76
50248,22,2024-12-27,2,81.5
50249,48,2025-03-28,6,143.15
50250,11,2025-06-30,1,149.82
50251,14,2025-08-12,8,114.05
50252,2,2025-02-06,7,244.24
50253,10,2025-10-29,12,238.05
50254,30,2026-01-24,5,81.71
50255,14,2025-01-03,4,78.76
50256,25,2024-08-20,7,77.0
50257,21,2024-10-18,5,71.79
50258,76,2024-01-10,1,25.51
50259,2,2025-01-31,7,299.18
50260,39,2023-02-01,3,18.19
50261,24,2026-01-19,1,146.05
50262,14,2025-09-20,4,44.34
50263,14,2025-05-26,6,130.67
50264,5,2026-02-13,11,141.06
50265,95,2023-09-11,5,114.31
50266,41,2023-02-16,3,15.7
50267,20,2024-11-16,6,68.88
50268,82,2024-05-05,6,78.13
50269,47,2024-10-02,1,136.84
50270,25,2025-03-30,6,44.68
50271,95,2023-11-04,5,111.36
50272,10,2025-09-05,2,261.97
50273,24,2025-07-13,8,100.88
50274,27,2024-09-05,2,68.15
50275,29,2025-03-26,8,90.87
50276,7,2025-06-28,11,94.79
50277,17,2025-03-07,3,120.52
50278,11,2024-11-10,8,118.38
50279,9,2025-11-28,5,215.07
50280,1,2025-02-18,8,85.06
50281,82,2025-11-21,4,107.48
50282,23,2024-11-06,1,145.77
50283,85,2025-07-30,4,151.44
50284,2,2026-01-15,5,197.63
50285,37,2023-02-26,2,34.83
50286,16,2024-09-08,2,88.81
50287,34,2023-09-03,2,19.04
50288,98,2024-05-14,2,50.17
50289,16,2026-03-17,3,120.03
50290,8,2026-03-05,9,283.7
50291,82,2025-05-11,6,118.0
50292,86,2023-12-06,3,35.66
50293,20,2025-05-10,5,98.93
50294,35,2023-01-15,2,23.08
50295,20,2024-08-15,2,105.58
50296,39,2023-05-22,2,23.51
50297,93,2024-08-08,1,86.45
50298,26,2025-08-19,3,144.72
50299,6,2025-05-26,3,216.23
50300,8,2025-05-12,9,221.5
50301,20,2025-04-26,7,76.1
50302,49,2023-12-01,6,120.04
50303,28,2026-05-26,7,60.52
50304,84,2024-05-04,2,66.67
50305,65,2025-09-29,6,128.74
50306,2,2025-11-02,6,230.91
50307,88,2024-01-27,6,150.92
50308,73,2025-07-31,5,71.51
50309,17,2025-09-24,6,143.46
50310,15,2024-08-26,3,34.65
50311,39,2023-01-10,3,40.35
50312,95,2025-08-29,5,32.28
50313,3,2025-05-19,11,298.44
50314,48,2024-11-17,4,71.93
50315,85,2026-01-24,3,137.91
50316,18,2025-09-07,5,145.7
50317,58,2026-01-07,3,125.31
50318,20,2025-07-17,7,87.86
50319,98,2024-04-28,2,146.21
50320,49,2025-08-18,6,91.7
50321,32,2023-08-06,3,38.84
50322,2,2026-05-10,4,153.65
50323,7,2025-07-16,3,335.53
50324,68,2025-10-08,1,80.53
50325,34,2023-04-06,2,44.78
50326,21,2026-03-11,2,129.9
50327,15,2025-09-10,3,29.79
50328,54,2023-07-30,6,89.75
50329,47,2024-05-21,3,46.66
50330,42,2023-01-29,3,26.11
50331,61,2024-11-19,3,30.71
50332,30,2025-10-08,8,32.85
50333,31,2023-03-03,3,25.62
50334,64,2025-07-11,4,10.27
50335,24,2024-08-10,3,108.05
50336,36,2023-05-20,1,43.14
50337,39,2023-08-12,3,5.81
50338,23,2024-05-31,6,56.71
50339,13,2026-03-18,6,55.14
50340,43,2023-03-27,3,34.41
50341,6,2025-05-29,10,171.41
50342,89,2026-03-26,4,176.74
50343,97,2026-02-11,2,20.73
50344,4,2025-01-12,2,293.6
50345,20,2025-11-22,7,148.64
50346,12,2024-07-02,4,60.76
50347,67,2025-08-11,3,31.16
50348,23,2025-06-14,8,136.83
50349,16,2025-05-26,8,111.51
50350,79,2025-12-05,3,146.2
50351,10,2025-10-25,4,227.28
50352,6,2026-03-02,12,159.82
50353,37,2023-03-31,1,32.59
50354,22,2024-07-12,7,59.32
50355,7,2025-05-13,7,218.53
50356,55,2026-01-02,5,125.28
50357,2,2025-12-11,5,290.2
50358,29,2026-04-10,1,100.64
50359,22,2024-08-01,6,80.49
50360,39,2023-06-16,2,20.92
50361,14,2025-10-08,1,116.96
50362,45,2023-07-18,3,9.71
50363,25,2025-03-03,4,149.55
50364,77,2023-12-18,2,30.85
50365,25,2025-04-07,2,126.31
50366,91,2025-03-05,1,103.5
50367,100,2024-07-10,2,131.01
50368,78,2024-09-03,2,30.63
50369,61,2025-08-13,4,14.47
50370,28,2024-08-11,3,101.49
50371,7,2026-01-24,9,221.94
50372,50,2023-12-18,2,175.3
50373,27,2025-11-30,6,41.04
50374,57,2023-11-10,2,83.55
50375,79,2024-06-15,2,61.7
50376,18,2025-10-28,6,143.44
50377,100,2025-02-01,1,52.6
50378,5,2026-04-29,11,224.04
50379,83,2025-06-10,5,36.21
50380,82,2023-09-16,1,150.29
50381,10,2026-01-31,6,255.81
50382,31,2023-05-20,2,40.56
50383,20,2026-04-16,8,55.61
50384,25,2024-10-23,2,111.08
50385,26,2026-01-26,8,50.5
50386,6,2025-04-13,7,343.35
50387,78,2024-11-26,5,28.05
50388,19,2024-08-22,8,55.99
50389,7,2025-05-13,11,192.9
50390,82,2024-06-10,6,63.16
50391,39,2023-03-20,2,24.95
50392,32,2023-09-05,2,25.22
50393,29,2025-02-27,6,31.08
50394,45,2023-03-15,3,31.9
50395,44,2023-08-14,1,22.24
50396,22,2025-06-29,7,70.74
50397,9,2025-09-22,5,177.88
50398,9,2025-09-13,9,286.39
50399,85,2024-04-08,6,113.88
50400,71,2025-06-13,3,145.13
50401,36,2023-05-11,1,12.96
50402,12,2026-05-15,1,29.86
50403,26,2025-10-24,8,43.62
50404,10,2025-10-03,7,123.88
50405,39,2023-07-01,3,26.29
50406,38,2023-06-22,1,19.73
50407,7,2024-12-28,11,163.07
50408,35,2023-07-18,3,36.32
50409,34,2023-05-03,3,7.05
50410,10,2025-08-06,8,119.9
50411,2,2025-10-18,5,85.11
50412,24,2026-01-31,4,76.3
50413,100,2024-04-27,6,133.66
50414,39,2023-05-03,2,44.92
50415,36,2023-05-17,1,23.39
50416,22,2024-11-27,5,101.26
50417,63,2025-03-20,5,60.74
50418,91,2026-04-16,2,127.34
50419,22,2025-12-23,5,60.97
50420,70,2024-05-14,4,149.12
50421,20,2025-08-10,2,68.3
50422,93,2025-01-25,4,46.38
50423,90,2024-11-21,3,33.34
50424,27,2024-07-07,4,104.74
50425,6,2025-04-20,9,107.15
50426,9,2026-04-02,4,189.87
50427,17,2026-03-07,5,65.15
50428,2,2026-06-01,12,235.02
50429,100,2024-07-12,1,165.25
50430,16,2025-06-25,1,149.65
50431,57,2025-03-03,6,173.56
50432,46,2024-02-24,3,106.55
50433,67,2026-04-26,3,87.24
50434,54,2024-08-17,5,89.56
50435,67,2024-12-27,2,134.29
50436,46,2025-03-15,6,67.31
50437,43,2023-08-08,1,12.02
50438,71,2024-01-13,4,97.6
50439,14,2025-09-15,3,147.71
50440,18,2025-01-11,1,57.6
50441,19,2026-05-25,6,62.74
50442,35,2023-03-02,3,19.38
50443,2,2026-01-20,9,162.84
50444,91,2025-03-15,3,127.35
50445,18,2025-09-16,4,144.67
50446,10,2026-03-28,7,192.28
50447,97,2024-12-07,6,150.35
50448,84,2025-07-29,1,99.34
50449,10,2026-05-02,3,96.67
50450,28,2025-10-29,3,45.57
50451,17,2025-10-19,8,36.37
50452,12,2025-07-14,8,41.49
50453,12,2025-03-26,8,109.1
50454,71,2024-10-08,3,148.8
50455,31,2023-01-17,2,18.78
50456,31,2023-05-01,1,44.45
50457,7,2026-02-04,4,287.62
50458,23,2025-06-05,8,133.7
50459,28,2025-05-06,3,106.69
50460,9,2025-07-17,8,222.79
50461,94,2026-02-22,1,176.34
50462,80,2024-11-01,4,100.43
50463,22,2026-05-27,3,59.46
50464,48,2023-08-21,6,81.27
50465,13,2025-08-15,2,99.24
50466,42,2023-01-12,1,14.79
50467,18,2024-07-11,4,119.3
50468,5,2025-10-23,5,300.26
50469,43,2023-03-02,3,37.74
50470,15,2025-02-20,4,76.7
50471,10,2026-02-11,4,249.02
50472,31,2023-06-21,2,42.66
50473,27,2025-07-07,6,112.04
50474,7,2026-03-30,4,283.69
50475,18,2024-10-09,5,132.19
50476,49,2025-11-19,5,80.16
50477,33,2023-02-22,2,14.71
50478,13,2024-08-17,8,130.89
50479,44,2023-04-07,1,7.06
50480,84,2024-08-08,1,158.52
50481,83,2024-10-06,6,124.15
50482,21,2024-05-30,5,144.63
50483,17,2025-09-17,2,118.36
50484,90,2025-10-09,5,129.64
50485,81,2025-09-06,3,141.84
50486,22,2025-10-22,5,57.7
50487,75,2026-03-07,1,146.48
50488,66,2025-11-13,2,73.02
50489,4,2026-02-01,4,84.38
50490,17,2025-12-19,6,53.75
50491,77,2025-06-10,5,121.28
50492,26,2026-06-04,8,82.6
50493,56,2026-04-15,2,132.45
50494,28,2024-07-30,1,90.49
50495,88,2025-11-10,1,139.94
50496,4,2024-12-10,3,270.94
50497,25,2026-02-27,6,32.56
50498,85,2023-08-21,4,122.08
50499,9,2026-05-27,8,83.2
50500,80,2025-12-17,3,12.91
50501,57,2024-05-19,1,166.07
50502,30,2025-02-12,5,126.9
50503,51,2026-02-14,3,173.08
50504,42,2023-07-31,1,17.0
50505,87,2024-01-27,6,139.13
50506,23,2024-05-24,8,32.01
50507,51,2025-05-28,4,153.71
50508,44,2023-08-24,1,40.79
50509,4,2025-01-17,11,208.39
50510,89,2023-09-25,3,162.88
50511,6,2025-04-27,2,339.6
50512,91,2025-03-23,4,167.91
50513,4,2026-01-03,11,305.36
50514,80,2024-05-01,3,75.25
50515,90,2025-06-27,6,23.33
50516,7,2025-11-14,5,306.44
50517,40,2023-07-18,3,20.87
50518,19,2025-05-14,8,86.33
50519,37,2023-05-30,2,12.43
50520,51,2024-12-05,5,60.21
50521,51,2024-05-30,3,36.22
50522,66,2023-07-30,3,28.11
50523,74,2024-02-14,3,139.43
50524,3,2026-05-09,8,201.19
50525,11,2024-08-18,2,69.24
50526,43,2023-01-04,2,39.55
50527,23,2025-12-08,2,115.61
50528,61,2025-09-06,5,98.59
50529,5,2025-04-29,6,152.47
50530,7,2026-04-10,6,193.7
50531,69,2026-04-30,3,170.52
50532,34,2023-03-19,2,9.28
50533,7,2025-12-25,7,307.24
50534,67,2024-04-23,4,66.91
50535,30,2024-11-12,4,84.88
50536,66,2026-04-20,3,134.93
50537,96,2025-02-13,2,65.4
50538,71,2024-09-01,3,29.36
50539,39,2023-05-21,1,32.27
50540,8,2025-09-25,5,198.38
50541,50,2024-04-30,4,124.41
50542,61,2025-12-02,3,121.97
50543,50,2026-03-27,4,178.42
50544,39,2023-08-11,3,41.94
50545,80,2025-07-25,1,144.42
50546,97,2024-01-10,5,110.95
50547,4,2025-05-20,12,259.47
50548,48,2025-10-15,5,177.21
50549,67,2024-02-06,4,28.01
50550,27,2025-06-19,4,80.72
50551,29,2024-06-09,3,68.12
50552,35,2023-01-22,2,41.82
50553,3,2026-03-12,7,164.21
50554,79,2024-02-04,4,69.21
50555,25,2024-06-29,6,33.4
50556,53,2024-02-28,1,154.36
50557,56,2024-07-11,6,51.47
50558,36,2023-04-29,3,22.05
50559,23,2026-03-19,3,48.3
50560,11,2025-07-28,4,81.2
50561,17,2026-05-05,4,59.79
50562,50,2024-08-05,5,27.3
50563,17,2026-04-01,8,39.24
50564,79,2025-09-22,6,63.28
50565,40,2023-08-05,1,18.92
50566,16,2026-01-09,5,139.84
50567,3,2025-10-09,7,111.82
50568,6,2026-02-02,4,217.92
50569,40,2023-05-05,2,21.92
50570,90,2024-07-08,6,168.22
50571,38,2023-03-22,2,10.61
50572,85,2023-08-08,1,157.14
50573,34,2023-05-10,2,43.55
50574,72,2026-01-14,6,93.59
50575,32,2023-07-14,3,6.23
50576,12,2025-03-06,5,53.11
50577,8,2026-04-22,11,280.48
50578,32,2023-07-18,3,9.57
50579,36,2023-01-11,3,37.9
50580,74,2025-12-06,5,47.15
50581,4,2025-01-03,6,316.2
50582,22,2024-09-12,2,79.88
50583,61,2025-07-07,2,147.82
50584,85,2024-04-30,6,82.79
50585,98,2025-07-07,2,146.92
50586,40,2023-09-08,3,11.74
50587,64,2024-01-31,5,55.45
50588,7,2025-04-09,2,347.97
50589,54,2025-05-09,2,34.86
50590,94,2024-05-06,6,76.76
50591,35,2023-04-26,3,21.57
50592,2,2025-09-11,8,219.22
50593,69,2025-05-20,4,171.54
50594,44,2023-09-06,3,8.73
50595,22,2025-06-26,2,124.46
50596,24,2025-04-10,4,86.84
50597,67,2026-04-08,5,108.25
50598,89,2026-02-15,1,17.81
50599,3,2026-02-12,9,203.26
50600,15,2025-02-19,5,44.87
50601,6,2025-05-19,6,102.25
50602,5,2025-03-04,5,195.89
50603,46,2024-04-16,2,91.06
50604,39,2023-01-03,3,22.8
50605,98,2025-11-30,1,177.99
50606,76,2024-01-18,1,48.92
50607,52,2025-03-23,1,63.27
50608,3,2025-04-26,12,348.09
50609,10,2025-05-18,2,244.79
50610,17,2026-02-04,3,139.99
50611,59,2024-05-01,1,162.42
50612,83,2025-12-15,6,75.29
50613,15,2024-08-09,4,59.62
50614,30,2026-04-22,5,122.37
50615,5,2026-05-06,5,219.79
50616,23,2025-01-15,5,105.77
50617,32,2023-06-02,1,24.98
50618,1,2025-04-15,7,332.16
50619,29,2026-04-14,7,70.68
50620,8,2025-02-08,3,84.51
50621,4,2026-01-12,2,329.1
50622,41,2023-04-17,3,25.04
50623,23,2025-11-16,2,105.07
50624,35,2023-05-11,1,17.4
50625,97,2025-09-27,2,101.19
50626,43,2023-01-17,3,32.24
50627,24,2024-08-11,4,32.24
50628,53,2023-11-09,4,114.09
50629,16,2024-10-02,2,26.58
50630,56,2024-12-31,4,172.01
50631,3,2025-03-31,6,277.89
50632,47,2025-01-27,3,147.21
50633,35,2023-06-10,3,44.0
50634,8,2026-04-26,10,177.23
50635,56,2024-02-15,3,36.74
50636,89,2026-05-27,6,29.61
50637,1,2025-12-08,5,92.42
50638,15,2024-06-20,3,141.4
50639,45,2023-04-18,3,34.63
50640,18,2025-04-07,7,139.48
50641,13,2026-04-04,6,39.93
50642,57,2023-10-22,2,146.74
50643,50,2025-04-16,4,157.23
50644,28,2024-12-06,8,26.0
50645,20,2026-01-10,4,82.99
50646,95,2024-12-03,2,134.52
50647,7,2025-11-20,2,142.91
50648,90,2023-07-22,1,171.67
50649,70,2024-02-17,6,133.63
50650,18,2024-07-15,7,86.5
50651,55,2023-10-17,6,57.57
50652,100,2025-08-20,5,80.22
50653,13,2026-02-26,2,88.18
50654,50,2025-12-26,5,106.53
50655,54,2025-04-25,2,59.58
50656,71,2025-05-18,6,151.42
50657,19,2024-12-08,4,34.34
50658,10,2025-05-18,3,121.96
50659,21,2025-05-16,7,40.09
50660,59,2025-01-12,4,62.41
50661,51,2025-04-03,2,147.29
50662,90,2025-05-21,5,16.86
50663,4,2025-01-20,7,186.99
50664,62,2025-10-25,2,15.28
50665,81,2024-01-29,6,103.52
50666,15,2024-12-28,2,26.49
50667,7,2025-02-25,7,265.3
50668,35,2023-01-17,1,5.87
50669,25,2025-04-19,3,36.5
50670,8,2026-02-17,2,125.36
50671,71,2025-12-09,4,15.01
50672,4,2026-03-02,4,154.25
50673,48,2024-12-04,5,115.26
50674,77,2026-03-27,4,160.07
50675,5,2025-06-23,8,117.05
50676,97,2023-08-28,5,52.36
50677,96,2026-04-07,6,71.05
50678,29,2024-11-15,6,73.55
50679,10,2025-09-14,5,87.91
50680,8,2025-07-27,10,176.51
50681,52,2025-01-15,2,121.67
50682,43,2023-08-31,3,7.24
50683,23,2024-11-08,6,141.9
50684,10,2025-12-03,7,297.68
50685,47,2024-05-06,6,129.1
50686,34,2023-02-14,2,26.68
50687,32,2023-02-26,1,14.3
50688,8,2025-06-25,2,169.57
50689,67,2025-05-12,6,40.17
50690,3,2025-04-25,11,270.27
50691,100,2023-12-15,5,156.31
50692,23,2025-04-10,2,67.07
50693,3,2026-04-13,8,293.8
50694,57,2025-07-19,6,174.69
50695,29,2026-04-20,3,72.3
50696,16,2025-12-22,1,143.6
50697,29,2025-04-05,1,47.76
50698,85,2024-02-18,2,118.74
50699,55,2024-11-18,3,136.71
50700,21,2024-08-13,3,104.52
50701,88,2025-06-06,6,133.98
50702,19,2024-07-23,4,56.19
50703,14,2025-08-06,1,31.02
50704,56,2025-09-02,4,93.82
50705,23,2025-12-27,2,128.6
50706,89,2023-12-17,2,37.65
50707,48,2025-01-04,3,13.41
50708,50,2025-08-26,3,38.92
50709,2,2025-03-06,10,334.3
50710,30,2025-07-30,8,113.06
50711,56,2024-06-05,5,161.26
50712,6,2026-01-24,5,343.09
50713,92,2025-02-15,6,101.82
50714,14,2025-11-28,1,74.11
50715,55,2025-12-11,1,71.34
50716,10,2024-12-27,9,133.91
50717,20,2024-09-10,2,84.2
50718,23,2026-03-22,8,86.14
50719,28,2025-06-09,7,48.11
50720,25,2025-09-03,1,57.91
50721,19,2026-04-28,1,43.89
50722,51,2025-11-13,6,68.44
50723,83,2025-09-19,2,104.11
50724,72,2026-03-18,5,126.8
50725,34,2023-04-12,2,16.95
50726,91,2024-05-16,1,95.36
50727,8,2025-05-21,4,336.25
50728,97,2025-12-03,2,31.45
50729,7,2025-05-01,5,349.26
50730,62,2023-12-04,3,164.84
50731,9,2025-09-09,8,229.05
50732,45,2023-06-09,1,36.46
50733,43,2023-02-08,2,9.5
50734,10,2025-03-13,11,284.76
50735,82,2025-06-23,1,143.58
50736,62,2026-03-14,4,121.31
50737,5,2026-01-16,8,118.84
50738,6,2026-04-01,5,93.31
50739,69,2025-03-31,1,67.44
50740,26,2025-01-03,2,146.56
50741,8,2026-01-31,7,152.74
50742,32,2023-08-22,1,22.67
50743,93,2025-08-23,4,139.11
50744,78,2026-05-22,2,21.15
50745,27,2024-12-06,1,46.72
50746,61,2025-07-27,1,87.6
50747,63,2026-05-19,3,150.0
50748,14,2025-09-27,1,55.24
50749,33,2023-03-31,2,28.48
50750,19,2025-06-14,2,60.63
50751,10,2025-07-19,5,311.42
50752,63,2023-08-30,6,79.62
50753,95,2024-04-15,6,11.51
50754,84,2025-04-05,1,48.04
50755,91,2025-08-29,6,56.81
50756,75,2025-03-29,3,47.1
50757,98,2024-02-14,5,77.52
50758,6,2025-09-16,10,254.78
50759,14,2025-02-22,8,32.98
50760,63,2025-03-22,3,121.54
50761,27,2026-01-19,4,137.46
50762,21,2026-03-17,3,115.16
50763,35,2023-04-14,2,41.28
50764,12,2026-05-15,4,67.9
50765,28,2026-04-02,8,138.32
50766,20,2025-12-07,3,130.08
50767,14,2025-02-03,8,40.99
50768,81,2025-06-06,2,170.98
50769,60,2025-04-08,3,47.97
50770,21,2025-03-12,6,57.57
50771,14,2026-02-23,8,31.71
50772,40,2023-02-19,1,23.89
50773,44,2023-03-18,3,20.27
